team,year,salary_cap_millions,dead_money_millions,dead_cap_pct,win_pct
CLE,2013,110.07,13.78,12.52,0.250
JAX,2013,120.19,35.39,29.44,0.250
PHI,2013,127.00,12.06,9.50,0.625
BUF,2013,115.15,18.34,15.92,0.375
MIA,2013,112.35,12.90,11.48,0.500
CAR,2013,110.90,18.22,16.42,0.750
GB,2013,120.68,3.12,2.58,0.531
TEN,2013,127.46,12.55,9.85,0.438
CIN,2013,127.06,8.13,6.40,0.688
TB,2013,127.71,14.41,11.28,0.250
ARI,2013,120.05,18.45,15.37,0.625
DEN,2013,133.46,11.52,8.63,0.812
OAK,2013,121.16,55.00,45.39,0.250
NE,2013,124.04,16.93,13.65,0.750
SF,2013,122.18,5.26,4.30,0.750
NYJ,2013,122.96,23.24,18.90,0.500
DAL,2013,116.24,16.38,14.09,0.500
SEA,2013,133.73,8.38,6.26,0.812
SD,2013,120.45,12.30,10.21,0.562
WAS,2013,107.39,5.29,4.93,0.188
DET,2013,119.77,14.83,12.38,0.438
HOU,2013,123.83,6.81,5.50,0.125
MIN,2013,128.95,3.64,2.82,0.344
ATL,2013,122.21,17.16,14.04,0.250
NO,2013,124.06,6.21,5.01,0.688
CHI,2013,128.43,6.20,4.83,0.500
KC,2013,136.63,19.03,13.93,0.688
PIT,2013,125.46,10.96,8.74,0.500
BAL,2013,124.11,17.51,14.11,0.500
STL,2013,124.33,14.67,11.80,0.438
NYG,2013,127.52,8.81,6.91,0.438
IND,2013,129.05,10.85,8.41,0.688
Totals,2013,3934.58,458.30,11.65,0.500
Averages,2013,122.96,14.32,11.65,0.500
